,song,artist
36,If You No Love,Chike
37,Don't Judge Me,Chris Brown
38,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)",DJ Khaled
39,Bounce,Ruger
40,Anyone,Justin Bieber
41,"SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy) [Harmonies By The Hive]",DJ Khaled
42,Cho Cho (feat. Davido & Mayorkun),Zlatan
43,Never Been In Love,Blaqbonez
44,Nobody (Icons Remix),"DJ Neptune, Laycon & Joeboy"
45,BIG PAPER (feat. Cardi B),DJ Khaled
46,Nobody,"DJ Neptune, Joeboy & Mr Eazi"
47,Don't Touch,Blaqbonez
48,Bad Guy,Billie Eilish
49,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber
50,Bounce,Réma
51,Enjoy,Tekno
52,Okwaraji,Blaqbonez
53,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","DJ Khaled, Post Malone, DaBaby, Megan Thee Stallion, Lil Baby"
54,Surah Al Mulk (Be Heaven),Omar Hisham
55,WE GOING CRAZY (feat. H.E.R. & Migos),DJ Khaled
56,It's Your Night,James Ingram
57,Whole Damn Year,Mary J. Blige
58,Obnimi (Callmearco Remix),Okean Elzi & Callmearco
59,TGF Pussy,Blaqbonez
60,DKMV (Don't Kill My Vibe),Kizz Ernie
61,Build Your Church (feat. Naomi Raine & Chris Brown),Elevation Worship & Maverick City Music
62,Zombie (feat. PsychoYP & Laycon),Blaqbonez
63,Therefore I Am (Originally Performed By Billie Eilish) [Instrumental],Vox Freaks
64,Faaji (feat.  1da Banton &  Bad Boy Timz ),Blaqbonez
65,Move On Up (Extended Version),Curtis Mayfield
66,La La (feat. CKay),DaVido
67,Clash,Diljit Dosanjh
68,Best Friend (feat. Cheque),Blaqbonez
69,Seven Seven,Chadwick
70,It Is What It Is,Adekunle Gold
71,Onwa,Chief Akunwafo Obiligbo
72,Chi Awu Otu,ORIENTAL BROTHERS
73,BBC (feat. Tiwa Savage) [Remix],Blaqbonez
74,Ekene Dili Chukwu,The Nkengas
75,World,"Dangbana Republik, Bella Shmurda"
76,Atualu Omalu,Mike Ejeagha
77,Kele (feat. Joeboy),Laycon
78,Heaven,Micah Lee
79,More Than Enuff,Half Mile Home
80,POPSTAR (feat. Drake),DJ Khaled
81,Da Da Da (Hamilton 33 Remix),Mr Luke
82,Rush,"Dangbana Republik, Bella Shmurda"
83,Alhamdullilah (feat. Amanda),Opick & Amanda
84,Jeje (feat. Terri),Laycon
85,Help Yourself,Sad Brad Smith
86,Woju (Remix) [feat. Davido & Tiwa Savage],Kizz Daniel
87,Want You Back (feat. Teni),Laycon
88,Hello,Adele
89,23,Burna Boy
90,Godwin,Korede Bello
91,God Body,Laycon
92,"Dorobucci (feat. Don Jazzy, Dr. Sid, Tiwa Savage, Reekado Banks, Di'Ja, Korede Bello & D'Prince)",Mavins
93,Southy Love (feat. Fireboy DML),Peruzzi
94,Ojuelegba,WizKid
95,Commitment Issues,Central Cee
96,FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney"
97,Fall For Me (feat. YKB),Laycon
98,Aye,DaVido
99,Moments,"
            +462,7K views 
            
 
"
0,Runaway,AURORA
1,Astronaut In The Ocean,Masked Wolf
2,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber
3,Where Are You,Otnicka
4,Rasputin,Boney M.
5,Rocky Bombay Theme,Instrumental
6,Don't (feat. RM),eAeon
7,"Seeti Maar (From ""Radhe - Your Most Wanted Bhai"")","Devi Sri Prasad, Kamaal Khan & Iulia Vantur"
8,Lut Gaye (feat. Emraan Hashmi),Jubin Nautiyal
9,Friendships,Pascal Letoublon
10,Baarish Ki Jaaye (feat. Nawazuddin Siddiqui & Sunanda Sharma),B. Praak
11,Levitating (feat. DaBaby),Dua Lipa
12,Everything At Once,Lenka
13,Thoda Thoda Pyaar,Stebin Ben & Nilesh Ahuja
14,MONTERO (Call Me By Your Name),Lil Nas X
15,Write This Down (Instrumental),SoulChef
16,"Master the Blaster (From ""Master"")",Anirudh Ravichander & Bjorn Surrao
17,Count On Me,Bruno Mars
18,Enjoy Enjaami,"Dhee, Arivu & Santhosh Narayanan"
19,Dynamite,BTS
20,Krishna Flute,Taal Music
21,Vaathi Coming,Anirudh Ravichander & Gana Balachandar
22,Charlie Bgm,Gopi Sunder
23,Pirate,Liu & Gen-X
24,Happy Birthday to You (Single),Happy Birthday
25,Save Your Tears (Remix),The Weeknd & Ariana Grande
26,Kareeb,Vishal Dadlani & Goldie Sohel
27,Touch It (TikTok Remix),DJ Niar
28,loading...6% Title,JIMEK
29,Scam 1992 Theme Music,Achint
30,Dil Diyan Gallan,Vishal & Shekhar & Atif Aslam
31,Tum Hi Ho Bandhu,Neeraj Shridhar & Kavita Seth
32,Love You Zindagi,Amit Trivedi & Jasleen Royal
33,New India,Shashwat Sachdev
34,Namo Namo,Amit Trivedi
35,Phir Le Aya Dil (Reprise),Pritam & Arijit Singh
36,Memories,Maroon 5
37,Scam 1992 Theme,Achint
38,Maa Ka Phone,Priya Panchal
39,Can We Kiss Forever? (feat. Adriana Proenza),Kina
40,On My Way,"Alan Walker, Sabrina Carpenter & Farruko"
41,Beat It,Michael Jackson
42,The Cuppycake Song,Buddy Castle
43,At My Worst (feat. Kehlani),Pink Sweat$
44,Happy Birthday,Nakash Aziz
45,Love Your Voice,JONY
46,Kaathalae Kaathalae (Version 1),Govind Vasantha & Chinmayi Sripaada
47,Jogi,Yasser Desai & Aakanksha Sharma
48,Vacation,Dirty Heads
49,Teri Mitti,Arko & B. Praak
50,Master the Blaster (Background Score),Anirudh Ravichander
51,Sweet Night,V
52,Levitating,Dua Lipa
53,Happy Birthday Song,Cocomelon
54,Tera Baap Aaya,Farhad Bhiwandiwala
55,Runaway,AURORA
56,Felu Theme (Instrumental),Satyajit Ray
57,Iko Iko (feat. Small Jam),Justin Wellington
58,Doob Gaye,Guru Randhawa
59,American Pie (Full Length Version),Don Mclean
60,Krishna Flute,Vidhin Boda
61,Everything at Once,Lenka
62,Chekuthan,Ribin Richard & Nihal Sadiq
63,Radha,Dhvani Bhanushali
64,Kanna Veesi,"SiddhuKumar, Rahul, Srinisha Jayaseelan, Vignesh Ramakrishna & Punith"
65,A Thousand Miles,Vanessa Carlton
66,Dhaaga,Nilotpal Bora
67,"Jai Sulthan (From ""Sulthan"")","Vivek - Mervin, Anirudh Ravichander & Junior Nithya"
68,Touch It (Gun Boosted),Midi Blosso
69,I Think About You,Ross Lynch
70,Muzumathi,A. R. Rahman & Srinivas
71,Thode Kam Ajnabi,Himani Kapoor
72,Shamshaan,Baba Hansraj Raghuwanshi
73,Hazan & Sinan (Hayatım Değişince),Alp Yenier
74,IV. Sweatpants,Childish Gambino
75,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
76,WITHOUT YOU (Miley Cyrus Remix),The Kid LAROI & Miley Cyrus
77,"Even When / The Best Part (From ""High School Musical: The Musical: The Series"" Season 2)",Olivia Rodrigo & Joshua Bassett
78,Companions,Amtrac
79,LAY LAY (Remix),"Nikolin Patrev, Gabidulin & Primodrum"
80,Imagine,Ben Platt
81,Just For You,Lil Pitchy
82,Medicine (R3HAB Remix),James Arthur
83,Birthday Pawri,"Meet Bros, Amit Mishra, Aditi Singh Sharma & Mellow D"
84,Things Are Different,Picture This
85,Pressure,AP Eightyone
86,Bones,Telenova
87,Brave Hope (feat. Ruby Wood & Femi Temowo),The Naked Eye
88,Killing Me,Yung Gwopp
89,Love Is Back (Live),Celeste
90,Set Me Free,VVE
91,サイレン,波羅ノ鬼
92,「」,波羅ノ鬼
93,Immerse,Einmusik & Jonas Saalbach
94,For He's a Jolly Good Fellow,Dario Viviani
95,nails so long,Mae Muller
96,ねがいごと,波羅ノ鬼
97,トラウマ,波羅ノ鬼
98,余命宣告,波羅ノ鬼
99,Window Shopping (feat. Lil Baby),FRVRFRIDAY
0,Rapstar,Polo G
1,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
2,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
